dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
75024647053259674,Kauno m.,28,240,1,25.0,1925.0,ambiguous,903,3176,440050743778,24.990042994721314,0.00039835954577638333
74619309761745634,Kauno m.,28,240,1,25.0,1980.0,ambiguous,903,3176,440050743778,24.990042994721314,0.00039835954577638333
75359281962836658,Šilainių sen.,20,110,2,132.0,1991.0,ambiguous,6983,8034,440056140480,131.99690565449498,2.3442286170016757e-05
74442995815447457,Aleksoto sen.,22,222,1,931.0,1889.0,ambiguous,249,917,198780020344,930.3479458621201,0.0007006257653250358
7422679132820198,Šilainių sen.,26,266,1,18.0,1973.0,ambiguous,137,389,440022152347,19.267513871315774,0.06804870070693525
74280370650025726,Kauno m.,28,240,1,18.0,1972.0,ambiguous,504,3176,199620475038,18.02892226261338,0.0016055028576857922
74518927280327996,Kauno m.,22,296,1,2.0,1995.0,no_match,0,352,,,
74420451807873086,Kauno m.,28,240,1,23.0,1968.0,ambiguous,785,3176,440050269433,23.024728073147582,0.0010745560728868675
74455416756818896,Kauno m.,28,240,1,54.0,1970.0,ambiguous,1902,3176,440058769710,54.00028103423108,5.204324069918442e-06
74196231574609556,Žaliakalnio sen.,20,110,1,150.0,2001.0,ambiguous,13886,15727,199240083010,149.9969999997802,2.000020146741832e-05
75004945229650927,Kauno m.,28,240,2,7.64,1996.0,no_match,0,123,,,
74444429272308585,Kauno m.,28,240,1,28.0,1970.0,ambiguous,1054,3176,440040127631,28.04340274881733,0.001548898009962052
81808068805283296,Aleksoto sen.,20,110,1,228.0,2015.0,ambiguous,9013,15727,440038755054,227.99560772423914,1.9264552932440893e-05
74869280845548947,Aleksoto sen.,20,110,1,98.0,1960.0,ambiguous,14258,15727,199620464011,97.99575000126566,4.336827441431268e-05
75460392809096638,Dainavos sen.,20,140,9,576.0,1976.0,ambiguous,291,303,199720101015,575.3986000004072,0.0010446426707204637
74482574438610755,Kauno m.,28,240,1,22.0,1949.0,ambiguous,739,3176,199270002032,22.042988585359026,0.0019521199805661027
75006940755023413,Kauno m.,28,240,1,18.0,1965.0,ambiguous,504,3176,199620475038,18.02892226261338,0.0016055028576857922
75675076561194349,Centro sen.,24,140,2,214.0,1930.0,ambiguous,374,430,199370288014,213.740599999135,0.00121288478421544
74594697554140429,Kauno m.,28,240,1,24.3,1964.0,ambiguous,850,3176,199460086028,24.306099998944998,0.0002509972607205313
74943437138815683,Kauno m.,28,240,1,52.0,1953.0,ambiguous,1860,3176,199900331026,51.9864903071722,0.00025983553948050186
74691066513022347,Kauno m.,28,240,1,18.0,1965.0,ambiguous,504,3176,199620475038,18.02892226261338,0.0016055028576857922
